,company_name,company_type,employess,startup_type,years,location,salary_benefit,company_culture,skill_development,work_life_balance,job_security
102,WAKEFIT INNOVATIONS,Furniture & Furnishing , 1k-5k Employees , Startup , 9 years old , Bangalore +25 more,True,False,False,False,False
103,Great Learning,EdTech , 501-1k Employees , Startup , 10 years old , Gurgaon +8 more,True,False,False,False,False
104,Healthians,Healthcare , 501-1k Employees , Startup , 10 years old , Gurgaon +29 more,True,False,False,False,False
105,Scaler Academy,EdTech , 1k-5k Employees , Startup , 4 years old , Bangalore +3 more,True,False,False,False,False
106,Loadshare Networks,Logistics , 501-1k Employees , Startup , 6 years old , Bangalore +43 more,True,False,False,False,False
107,Healthcare At Home,Healthcare , 1k-5k Employees , Startup , 11 years old , Noida +26 more,True,False,False,False,False
108,FabHotels,Hospitality , 501-1k Employees , Startup , 9 years old , Gurgaon +25 more,True,False,False,False,False
109,Nestaway,Internet , 201-500 Employees , Startup , 8 years old , Bangalore +14 more,True,False,False,False,False
110,NeoGrowth Credit,Investment Banking / Venture Capital / Private Equity , 501-1k Employees , Startup , 10 years old , Mumbai +26 more,True,False,False,False,False
111,Doubtnut,EdTech , 201-500 Employees , Startup , 7 years old , Gurgaon +11 more,True,False,False,False,False
112,JoulestoWatts Business Solutions,IT Services & Consulting , 201-500 Employees , Startup , 8 years old , Bangalore +12 more,True,False,False,False,False
113,FoodPanda,Internet , 501-1k Employees , Startup , 11 years old , Berlin +16 more,True,False,False,False,False
114,DataTrained,EdTech , 51-200 Employees , Startup , 11 years old , Bangalore +3 more,True,False,False,False,False
115,Ofbusiness,FinTech , 201-500 Employees , Indian Unicorn , 8 years old , Gurgaon +26 more,True,False,False,False,False
116,Polestar Solutions & Services India,IT Services & Consulting , 201-500 Employees , Startup , 11 years old , Noida +7 more,True,False,False,False,False
117,ShopKirana,Software Product , 501-1k Employees , Startup , 9 years old , Indore +19 more,True,False,False,False,False
118,Razorpay,Financial Services , 1k-5k Employees , Indian Unicorn , 9 years old , Bangalore +8 more,True,False,False,False,False
119,Housejoy,Facility Management Services , 201-500 Employees , Startup , 9 years old , Bangalore +16 more,True,False,False,False,False
120,Bada Business,Internet , 5k-10k Employees , Startup , 4 years old , New Delhi +34 more,True,False,False,False,False
121,Flipkart Health+,Internet , 501-1k Employees , Startup , 10 years old , Kolkata +25 more,True,False,False,False,False
122,RapiPay,FinTech , 501-1k Employees , Startup , 5 years old , Noida +63 more,True,False,False,False,False
123,Innovaccer,Software Product , 501-1k Employees , Indian Unicorn , 9 years old , San Francisco +5 more,True,False,False,False,False
124,Rapido,Internet , 1k-5k Employees , Startup , 8 years old , Bangalore +46 more,True,False,False,False,False
125,LendingKart,FinTech , 201-500 Employees , Public , 9 years old , Ahmedabad +23 more,True,False,False,False,False
126,Leap Finance,FinTech , 501-1k Employees , Startup , 4 years old , Bangalore +9 more,True,False,False,False,False
127,NOON.COM,Internet , 1k-5k Employees , Startup , 7 years old , Burj Khalifa +14 more,True,False,False,False,False
128,Supr Daily,Internet , 11-50 Employees , Startup , 8 years old , Bangalore +23 more,True,False,False,False,False
129,MagicPin,Internet , 201-500 Employees , Startup , 8 years old , Gurgaon +14 more,True,False,False,False,False
130,Urban Ladder,Furniture & Furnishing , 501-1k Employees , Startup , 11 years old , Bangalore +23 more,True,False,False,False,False
131,HungerBox,Internet , 501-1k Employees , Startup , 7 years old , Bangalore +14 more,True,False,False,False,False
